Epoch,Layer,Node,WeightType,WeightIndex,WeightValue
16,0,0,output,1,0.737186
16,0,0,output,2,0.678916
16,0,0,bias,0,-2.73771
16,0,1,input,0,-1
16,0,1,output,0,1.50099
16,0,1,output,1,0.839166
16,0,1,output,2,0.459213
16,0,1,bias,0,4.92048
16,0,2,input,0,-1
16,0,2,output,0,-1.70321
16,0,2,output,1,1.0679
16,0,2,output,2,-7.05259
16,0,2,bias,0,-1.70744
16,1,0,input,0,1.34802e-78
16,1,0,input,1,1.50099
16,1,0,input,2,-1.70321
16,1,0,output,0,1.12427e-89
16,1,0,output,1,3.93399e-72
16,1,0,output,2,1.78941e-73
16,1,0,bias,0,-14.5888
16,1,1,input,0,0.737186
16,1,1,input,1,0.839166
16,1,1,input,2,1.0679
16,1,1,output,0,0.911153
16,1,1,output,1,0.762732
16,1,1,output,2,0.665282
16,1,1,bias,0,-0.545975
16,1,2,input,0,0.678916
16,1,2,input,1,0.459213
16,1,2,input,2,-7.05259
16,1,2,output,0,19.9294
16,1,2,output,1,0.993529
16,1,2,output,2,1.051
16,1,2,bias,0,23.4874
16,2,0,input,0,1.12427e-89
16,2,0,input,1,0.911153
16,2,0,input,2,19.9294
16,2,0,output,0,1.14427e-88
16,2,0,bias,0,-1958.68
16,2,1,input,0,3.93399e-72
16,2,1,input,1,0.762732
16,2,1,input,2,0.993529
16,2,1,output,0,2.74187e-21
16,2,1,bias,0,-68.6533
16,2,2,input,0,1.78941e-73
16,2,2,input,1,0.665282
16,2,2,input,2,1.051
16,2,2,output,0,7.23561e-19
16,2,2,bias,0,-69.5402
17,0,0,input,0,1
17,0,0,output,0,3.18864e-84
17,0,0,output,1,0.737186
17,0,0,output,2,0.678916
17,0,0,bias,0,-2.73771
17,0,1,input,0,-1
17,0,1,output,0,1.50099
17,0,1,output,1,0.839166
17,0,1,output,2,0.459213
17,0,1,bias,0,4.92048
17,0,2,input,0,-1
17,0,2,output,0,-1.70321
